station_id,start_date,end_date,altitude,latitude,longitude,station_name,state
991,20040912,20241007,359,50.9116,13.7087,Dippoldiswalde-Reinberg,Sachsen
1048,20081103,20241007,228,51.1278,13.7543,Dresden-Klotzsche,Sachsen
1050,20050809,20241007,112,51.0221,13.847,Dresden-Hosterwitz,Sachsen
1051,20070122,20241007,119,51.0249,13.775,Dresden-Strehlen,Sachsen
1441,20150331,20241007,416,50.9263,13.2711,Freiberg,Sachsen
2985,20071203,20241007,321,50.9383,14.2094,Lichtenhain-Mittelndorf,Sachsen
3094,20060913,20241007,166,51.3122,14.0499,Kamenz-Cunnersdorf,Sachsen
3234,20050131,20241007,158,51.1294,13.4328,Klipphausen-Garsebach,Sachsen
3740,20080331,20241007,195,50.9933,13.9807,Lohmen/Sachsen,Sachsen
4023,20100302,20241007,270,51.2006,14.0207,Pulsnitz,Sachsen
5943,20061231,20241007,462,50.8377,14.0719,Rosenthal-Bielatal,Sachsen
6314,20050731,20241007,306,51.0507,13.3003,Nossen,Sachsen
7334,20060228,20241007,131,51.2651,13.3588,Hirschstein-Heyda,Sachsen
7335,20060131,20241007,138,51.3658,13.5801,Großenhain-Strauch,Sachsen
13654,20070731,20241006,285,51.0063,13.471,Wilsdruff-Mohorn,Sachsen
